flow_rate,pressure,temperature,usage_duration,vibration,label
41.75,316.16,29.29,81,0.12,Normal
101.65,180.95,31.11,124,0.72,Leakage
57.55,294.44,23.16,64,0.14,Normal
58.51,342.32,23.26,116,0.11,Normal
51.48,337.49,20.81,50,0.27,Normal
113.99,151.52,30.45,133,0.59,Leakage
59.07,326.04,20.63,78,0.23,Normal
104.83,147.76,28.31,42,0.59,Leakage
41.57,313.49,22.65,48,0.19,Normal
39.38,309.43,26.09,35,0.26,Normal
30.03,334.85,20.07,87,0.29,Normal
42.44,319.05,26.29,33,0.12,Normal
89.04,212.73,32.3,115,0.84,Leakage
47.5,305.15,26.89,99,0.29,Normal
58.19,309.09,23.89,101,0.15,Normal
59.87,295.32,22.39,32,0.28,Normal
91.66,107.84,34.99,100,0.81,Leakage
33.53,288.89,22.98,52,0.1,Normal
91.43,112.92,32.45,60,0.61,Leakage
56.16,293.94,22.92,34,0.18,Normal
35.38,335.98,29.95,106,0.15,Normal
75.92,122.84,30.17,109,0.97,Leakage
35.76,335.23,22.64,70,0.14,Normal
59.77,304.79,25.12,49,0.16,Normal
32.8,299.46,23.75,72,0.25,Normal
56.98,280.84,28.22,68,0.2,Normal
44.15,282.22,25.74,75,0.1,Normal
35.25,288.73,29.95,110,0.12,Normal
49.39,327.04,28.11,48,0.29,Normal
31.14,296.64,21.78,100,0.24,Normal
71.4,132.81,27.11,130,0.97,Leakage
49.07,288.65,23.24,40,0.21,Normal
35.16,344.5,29.23,88,0.29,Normal
47.67,292.12,26.32,96,0.29,Normal
47.72,329.97,20.59,81,0.14,Normal
36.1,339.8,26.53,66,0.23,Normal
38.96,349.97,28.57,93,0.2,Normal
57.04,285.78,28.91,88,0.2,Normal
52.77,293.43,26.97,116,0.18,Normal
118.44,112.0,28.87,77,0.71,Leakage
50.53,298.68,25.73,50,0.26,Normal
59.8,337.93,28.29,77,0.28,Normal
53.99,342.46,21.17,43,0.18,Normal
106.73,210.38,25.18,80,0.5,Leakage
75.47,101.82,25.39,94,0.88,Leakage
41.11,284.32,25.22,39,0.24,Normal
31.23,311.31,29.79,52,0.13,Normal
87.61,130.54,29.19,79,0.93,Leakage
105.8,198.12,30.22,111,0.68,Leakage
52.76,295.02,25.76,118,0.26,Normal
33.55,288.68,21.27,51,0.29,Normal
48.2,341.09,23.73,62,0.24,Normal
35.77,299.06,24.62,62,0.16,Normal
31.67,314.39,23.44,105,0.26,Normal
38.42,280.78,28.1,120,0.26,Normal
50.17,298.42,20.01,74,0.11,Normal
31.03,327.0,29.93,104,0.29,Normal
50.04,333.6,26.13,70,0.25,Normal
50.29,294.94,29.33,57,0.16,Normal
53.91,284.21,20.09,71,0.3,Normal
31.26,337.91,22.36,111,0.15,Normal
50.89,326.92,23.11,37,0.11,Normal
49.23,342.33,29.79,59,0.1,Normal
55.05,321.3,22.59,65,0.23,Normal
56.3,295.6,21.31,60,0.24,Normal
58.41,348.77,26.38,79,0.3,Normal
93.85,176.36,28.99,139,1.0,Leakage
118.35,205.34,33.03,87,0.64,Leakage
46.32,298.63,26.1,58,0.11,Normal
90.31,118.37,33.77,108,0.69,Leakage
44.28,319.33,22.22,89,0.29,Normal
43.98,320.6,20.35,42,0.12,Normal
50.02,346.7,26.53,58,0.2,Normal
35.85,314.6,29.6,30,0.24,Normal
55.8,310.36,26.62,104,0.24,Normal
78.19,117.1,32.98,122,0.63,Leakage
54.56,338.05,26.21,35,0.18,Normal
71.96,196.8,26.84,114,0.99,Leakage
37.69,307.68,21.55,112,0.13,Normal
41.76,320.48,28.6,70,0.26,Normal
45.69,305.22,25.12,89,0.15,Normal
98.57,123.8,33.08,130,0.81,Leakage
43.48,315.86,29.72,109,0.28,Normal
58.71,333.37,22.27,118,0.23,Normal
59.26,347.91,28.01,74,0.17,Normal
44.71,289.17,24.17,118,0.23,Normal
43.4,332.87,24.22,87,0.29,Normal
92.21,128.54,32.0,75,0.64,Leakage
76.51,186.54,25.56,128,0.64,Leakage
38.87,346.19,24.83,66,0.2,Normal
53.43,318.31,20.71,34,0.27,Normal
55.28,293.28,20.74,86,0.14,Normal
106.26,128.45,31.31,117,0.65,Leakage
40.89,344.14,21.9,38,0.16,Normal
45.8,296.17,27.45,33,0.15,Normal
53.55,286.33,20.92,92,0.24,Normal
106.58,127.15,32.95,62,0.81,Leakage
46.16,349.34,21.27,30,0.21,Normal
34.09,312.44,22.6,51,0.21,Normal
33.45,341.51,23.47,115,0.24,Normal
38.01,327.01,23.33,118,0.28,Normal
113.27,178.23,33.37,56,0.7,Leakage
86.43,160.68,32.68,124,0.8,Leakage
44.87,316.21,26.29,38,0.19,Normal
31.53,316.68,20.52,52,0.14,Normal
105.4,101.13,34.54,68,0.79,Leakage
43.57,344.09,26.79,116,0.21,Normal
58.02,290.97,23.2,95,0.19,Normal
40.16,317.27,20.57,37,0.11,Normal
55.69,283.47,21.43,68,0.22,Normal
57.05,331.27,20.42,89,0.15,Normal
99.43,116.03,34.47,89,0.89,Leakage
88.69,118.56,34.25,146,0.62,Leakage
39.48,331.8,27.29,110,0.17,Normal
97.49,145.64,28.14,66,0.86,Leakage
90.8,161.16,28.93,43,0.54,Leakage
98.33,204.38,30.54,95,0.68,Leakage
32.49,347.87,22.9,120,0.28,Normal
37.15,345.11,26.64,59,0.14,Normal
38.18,325.34,27.69,76,0.25,Normal
30.83,301.7,27.55,65,0.12,Normal
36.55,348.3,29.89,50,0.25,Normal
50.4,313.48,27.31,85,0.27,Normal
35.58,284.85,21.51,74,0.24,Normal
42.25,320.01,22.9,73,0.17,Normal
49.88,327.76,22.5,99,0.12,Normal
49.11,319.45,29.46,84,0.11,Normal
106.1,113.52,29.59,150,0.99,Leakage
109.3,204.02,27.52,101,0.91,Leakage
31.21,290.06,28.07,120,0.11,Normal
49.23,302.37,23.9,112,0.14,Normal
59.61,306.14,26.85,110,0.22,Normal
59.68,334.28,28.91,87,0.14,Normal
106.95,106.78,31.34,55,0.84,Leakage
48.88,312.6,26.72,91,0.18,Normal
53.78,302.83,29.63,110,0.3,Normal
51.18,341.31,21.78,65,0.21,Normal
105.32,158.18,28.6,59,0.96,Leakage
105.47,168.71,25.45,73,0.72,Leakage
101.51,202.68,25.42,97,0.79,Leakage
49.9,303.22,23.88,107,0.19,Normal
45.69,294.87,24.28,99,0.11,Normal
94.07,116.19,25.46,123,0.86,Leakage
119.46,210.34,29.02,89,0.81,Leakage
93.43,156.13,29.74,87,0.63,Leakage
48.44,291.44,26.83,36,0.17,Normal
32.52,346.27,23.39,48,0.27,Normal
39.61,321.9,27.93,60,0.2,Normal
37.2,345.94,20.99,98,0.21,Normal
98.67,160.22,33.87,111,0.81,Leakage
74.93,188.28,25.06,71,0.95,Leakage
78.85,173.03,28.94,51,0.59,Leakage
40.28,307.59,24.06,110,0.15,Normal
51.35,285.92,22.18,110,0.16,Normal
43.51,345.55,22.94,89,0.27,Normal
37.58,293.97,21.01,45,0.17,Normal
52.7,348.57,29.0,50,0.19,Normal
118.39,154.08,25.12,117,0.62,Leakage
33.13,302.47,20.32,35,0.25,Normal
30.24,303.86,24.33,95,0.16,Normal
57.82,328.33,20.05,67,0.16,Normal
40.9,283.92,21.08,42,0.24,Normal
79.68,175.59,31.43,51,0.95,Leakage
108.41,116.88,27.88,45,0.84,Leakage
31.42,302.95,22.27,101,0.24,Normal
35.54,317.17,23.91,67,0.18,Normal
47.8,296.17,23.98,40,0.22,Normal
34.31,329.49,28.59,71,0.12,Normal
44.47,304.41,29.05,41,0.24,Normal
47.35,345.24,24.86,66,0.17,Normal
56.99,307.99,21.81,31,0.27,Normal
51.32,304.48,26.18,74,0.12,Normal
50.67,329.98,24.54,109,0.29,Normal
42.38,280.36,20.88,51,0.2,Normal
116.26,174.16,30.79,40,0.67,Leakage
30.49,296.21,25.01,75,0.11,Normal
116.77,192.34,28.81,131,0.9,Leakage
80.15,212.74,28.5,103,0.56,Leakage
38.34,289.92,20.5,112,0.26,Normal
32.71,334.13,25.91,114,0.18,Normal
30.27,284.6,20.1,69,0.11,Normal
34.42,344.66,24.89,85,0.21,Normal
82.79,199.66,26.3,136,0.54,Leakage
46.48,315.37,25.76,31,0.14,Normal
98.93,111.9,25.31,110,0.98,Leakage
115.13,168.54,29.56,59,0.98,Leakage
32.61,341.02,28.1,62,0.22,Normal
51.28,326.32,24.45,53,0.23,Normal
55.93,289.22,29.34,51,0.22,Normal
43.97,333.66,28.92,107,0.26,Normal
46.86,291.98,29.41,37,0.23,Normal
54.2,286.06,22.64,85,0.2,Normal
97.88,193.48,31.63,88,0.89,Leakage
116.54,143.49,28.31,91,0.85,Leakage
97.99,150.7,26.51,100,0.77,Leakage
36.96,295.02,26.95,115,0.25,Normal
50.91,314.13,27.41,52,0.15,Normal
54.99,300.16,22.32,69,0.17,Normal
30.42,315.69,21.44,49,0.23,Normal
31.26,320.55,24.13,80,0.13,Normal
112.89,203.4,34.91,101,0.86,Leakage
49.86,308.16,22.82,77,0.18,Normal
37.98,347.92,20.9,35,0.25,Normal
94.15,192.76,32.42,142,0.68,Leakage
80.99,157.17,32.98,103,0.99,Leakage
35.62,305.96,28.79,95,0.11,Normal
56.71,343.44,22.39,42,0.2,Normal
50.88,332.63,26.45,75,0.21,Normal
114.57,213.11,30.62,56,0.86,Leakage
96.05,157.53,30.77,70,0.84,Leakage
88.09,138.1,26.09,131,0.85,Leakage
39.48,285.67,26.33,86,0.24,Normal
40.9,292.47,20.91,92,0.23,Normal
45.91,337.72,23.36,100,0.14,Normal
38.05,330.5,27.34,113,0.21,Normal
73.52,167.56,30.62,145,0.7,Leakage
114.18,194.96,29.59,45,0.5,Leakage
30.5,280.31,29.55,54,0.2,Normal
48.64,338.4,24.61,118,0.16,Normal
103.91,104.46,25.55,55,0.84,Leakage
46.42,308.94,26.48,60,0.22,Normal
44.51,331.37,28.38,113,0.29,Normal
57.62,281.45,29.63,80,0.19,Normal
37.28,304.97,28.01,59,0.29,Normal
56.54,294.97,29.36,61,0.25,Normal
34.03,301.66,23.6,47,0.11,Normal
51.97,330.31,26.76,33,0.28,Normal
52.57,289.95,27.31,78,0.1,Normal
84.62,142.63,30.67,78,0.56,Leakage
112.04,150.4,32.15,147,0.73,Leakage
72.56,210.62,30.3,101,0.69,Leakage
48.97,329.95,29.39,32,0.28,Normal
33.34,304.54,26.43,52,0.16,Normal
46.78,321.81,24.42,50,0.22,Normal
44.81,299.33,23.26,47,0.14,Normal
92.64,169.96,33.58,95,0.68,Leakage
117.89,193.5,26.24,76,0.85,Leakage
119.91,140.87,27.79,137,0.71,Leakage
42.67,291.23,24.84,35,0.13,Normal
71.52,208.5,34.0,61,0.67,Leakage
83.16,189.35,34.08,59,0.87,Leakage
76.64,153.36,29.39,135,0.93,Leakage
42.64,325.53,20.35,84,0.29,Normal
53.64,295.41,23.95,116,0.19,Normal
111.21,126.3,28.36,149,0.53,Leakage
45.44,283.12,22.13,44,0.16,Normal
57.84,320.93,24.01,115,0.2,Normal
106.91,103.01,31.71,121,0.92,Leakage
33.96,313.32,25.25,113,0.16,Normal
114.71,205.93,30.08,45,0.71,Leakage
36.96,312.02,22.12,108,0.24,Normal
36.77,308.21,27.11,115,0.14,Normal
113.49,100.96,34.36,61,0.78,Leakage
111.17,127.54,32.4,100,0.9,Leakage
110.87,161.52,30.61,143,0.82,Leakage
96.62,214.93,33.12,93,0.53,Leakage
53.83,316.65,21.12,91,0.17,Normal
73.19,207.54,32.44,107,0.98,Leakage
33.2,289.73,27.52,92,0.18,Normal
115.42,169.29,25.49,89,0.5,Leakage
105.43,144.28,32.73,114,0.57,Leakage
45.66,293.67,27.78,37,0.26,Normal
75.46,127.95,27.71,48,0.75,Leakage
35.9,293.22,22.26,120,0.18,Normal
56.49,341.06,29.5,70,0.16,Normal
91.26,152.29,26.39,51,0.83,Leakage
59.89,293.54,23.21,107,0.16,Normal
59.02,328.55,25.63,50,0.28,Normal
34.72,333.98,29.42,37,0.16,Normal
30.99,337.11,27.05,83,0.29,Normal
32.87,295.76,25.85,38,0.14,Normal
89.77,214.59,29.95,97,0.51,Leakage
118.62,169.22,30.89,115,0.64,Leakage
58.16,305.16,20.21,106,0.27,Normal
55.19,332.66,26.8,82,0.16,Normal
45.21,290.55,24.7,82,0.15,Normal
72.98,136.86,32.55,147,0.74,Leakage
44.35,299.98,28.01,86,0.19,Normal
38.96,317.76,21.26,72,0.2,Normal
52.46,286.2,29.37,50,0.15,Normal
40.69,303.05,29.91,56,0.26,Normal
55.97,285.09,25.23,113,0.12,Normal
34.08,348.28,27.08,71,0.23,Normal
56.47,319.72,29.07,101,0.22,Normal
58.05,308.11,20.97,52,0.25,Normal
85.1,149.37,29.91,118,0.85,Leakage
100.6,102.52,29.95,93,0.69,Leakage
51.82,338.72,25.08,41,0.28,Normal
49.8,326.05,21.74,69,0.15,Normal
30.71,332.0,22.07,91,0.23,Normal
41.08,337.72,22.09,91,0.11,Normal
92.67,193.45,28.43,120,0.99,Leakage
37.33,332.99,20.67,68,0.29,Normal
39.43,328.4,27.47,62,0.22,Normal
86.08,188.01,32.62,87,0.57,Leakage
47.17,283.77,27.43,104,0.24,Normal
31.26,281.52,25.37,112,0.22,Normal
87.51,139.27,26.92,116,0.8,Leakage
73.1,200.06,32.14,57,0.94,Leakage
96.33,196.42,28.97,94,0.93,Leakage
40.2,290.02,24.59,65,0.13,Normal
48.15,325.45,22.55,74,0.27,Normal
40.22,330.94,23.46,110,0.22,Normal
49.04,339.11,20.53,76,0.3,Normal
54.35,282.94,27.65,42,0.3,Normal
100.09,160.96,32.62,128,0.93,Leakage
112.17,114.42,25.27,49,0.94,Leakage
44.62,284.77,28.19,92,0.27,Normal
41.39,295.73,24.23,37,0.18,Normal
93.83,195.55,27.35,59,0.69,Leakage
50.3,316.22,24.07,32,0.26,Normal
42.51,336.96,21.1,73,0.22,Normal
48.07,285.93,28.23,107,0.14,Normal
47.42,283.45,22.37,89,0.14,Normal
98.63,134.86,31.71,140,0.61,Leakage
45.97,344.09,26.17,114,0.17,Normal
52.56,294.66,23.63,79,0.27,Normal
54.82,328.22,25.18,86,0.22,Normal
71.97,202.51,28.62,72,0.86,Leakage
43.59,322.4,22.42,98,0.3,Normal
42.91,290.68,20.42,103,0.22,Normal
32.58,326.33,27.64,88,0.11,Normal
31.5,341.58,24.33,32,0.26,Normal
40.44,338.65,23.16,105,0.16,Normal
79.12,217.68,33.0,125,0.94,Leakage
90.73,118.07,28.14,52,0.96,Leakage
43.24,297.9,27.93,72,0.2,Normal
52.18,298.19,26.95,64,0.13,Normal
42.79,294.09,27.82,87,0.18,Normal
103.06,108.2,29.43,110,0.59,Leakage
53.93,322.31,24.21,33,0.18,Normal
39.05,316.73,24.0,46,0.26,Normal
43.63,306.11,28.33,72,0.11,Normal
54.48,296.02,28.72,120,0.27,Normal
112.67,211.96,26.45,40,0.99,Leakage
57.32,286.08,24.73,75,0.22,Normal
34.22,319.29,29.13,102,0.15,Normal
38.34,287.81,28.41,33,0.21,Normal
35.03,289.34,25.84,101,0.15,Normal
48.62,308.38,25.46,91,0.1,Normal
53.55,298.37,24.14,34,0.19,Normal
55.93,308.96,24.56,56,0.22,Normal
42.78,325.45,22.6,74,0.21,Normal
104.8,156.05,25.12,93,0.62,Leakage
37.46,282.08,29.12,63,0.27,Normal
83.84,201.86,34.01,147,0.71,Leakage
30.78,297.72,27.19,68,0.21,Normal
118.23,177.91,28.72,66,0.8,Leakage
49.66,317.84,21.94,84,0.29,Normal
52.6,337.71,29.62,67,0.21,Normal
43.36,321.23,22.71,107,0.21,Normal
119.11,187.25,34.14,148,0.76,Leakage
45.56,287.13,28.63,63,0.18,Normal
83.15,102.11,26.41,123,0.96,Leakage
52.52,312.4,22.58,44,0.29,Normal
49.91,296.36,25.68,66,0.26,Normal
109.15,138.79,32.43,93,0.73,Leakage
46.96,298.49,27.95,111,0.13,Normal
37.08,321.25,29.15,54,0.19,Normal
33.93,301.01,21.1,105,0.24,Normal
39.58,344.78,20.33,30,0.28,Normal
40.29,333.51,24.64,56,0.15,Normal
38.65,331.29,23.65,40,0.12,Normal
41.68,342.51,29.46,41,0.21,Normal
34.68,319.18,27.27,62,0.26,Normal
46.2,294.21,20.76,39,0.18,Normal
57.39,283.85,29.1,58,0.21,Normal
54.09,349.99,21.57,89,0.27,Normal
56.73,329.01,20.17,87,0.26,Normal
37.66,341.65,28.52,69,0.11,Normal
44.33,300.25,26.03,104,0.27,Normal
85.68,172.76,28.48,48,0.82,Leakage
32.76,335.13,28.39,79,0.28,Normal
55.58,335.98,21.48,45,0.18,Normal
50.39,342.59,29.22,69,0.21,Normal
54.42,304.65,23.24,55,0.22,Normal
37.07,327.2,29.82,116,0.28,Normal
35.04,345.88,22.11,45,0.15,Normal
39.99,297.56,21.32,100,0.25,Normal
42.8,304.9,20.5,111,0.18,Normal
44.84,295.86,28.99,112,0.18,Normal
45.84,307.07,25.94,113,0.16,Normal
99.99,163.32,33.4,56,0.67,Leakage
34.85,288.22,27.8,76,0.15,Normal
43.57,336.3,23.88,101,0.24,Normal
57.47,287.65,27.94,45,0.17,Normal
39.7,315.71,25.47,61,0.15,Normal
30.28,291.72,25.49,101,0.15,Normal
34.08,309.02,26.39,40,0.18,Normal
100.68,133.52,30.23,141,0.62,Leakage
36.72,315.89,28.6,70,0.15,Normal
30.82,332.49,21.07,63,0.28,Normal
44.87,292.96,28.56,112,0.2,Normal
54.09,333.49,24.54,69,0.11,Normal
34.34,296.69,23.12,68,0.28,Normal
79.35,206.99,34.42,77,0.84,Leakage
38.12,337.43,24.43,108,0.24,Normal
56.12,314.5,26.71,72,0.21,Normal
54.35,327.11,23.55,31,0.13,Normal
30.81,329.44,29.89,108,0.16,Normal
40.98,296.53,28.63,43,0.13,Normal
51.91,309.74,20.84,115,0.16,Normal
117.4,189.61,26.0,77,0.77,Leakage
102.42,156.04,32.09,123,0.59,Leakage
43.1,303.22,20.42,89,0.27,Normal
38.51,323.11,25.14,71,0.3,Normal
